individual,x1,x2,fitness,rank,is_elite
1,-0.0018468201023286307,0.019602851677454458,0.0659813297404388,1,True
2,-0.0018468201023286307,0.019602851677454458,0.0659813297404388,2,False
3,-0.0018468201023286307,0.019602851677454458,0.0659813297404388,3,False
4,-0.0018468201023286307,0.019602851677454458,0.0659813297404388,4,False
5,-0.0018468201023286307,0.019602851677454458,0.0659813297404388,5,False
6,0.025457577748278212,0.019602851677454458,0.11817857577153434,6,False
7,0.025457577748278212,0.019602851677454458,0.11817857577153434,7,False
8,0.025457577748278212,0.019602851677454458,0.11817857577153434,8,False
9,0.025457577748278212,0.019602851677454458,0.11817857577153434,9,False
10,0.025457577748278212,0.019602851677454458,0.11817857577153434,10,False
11,0.025457577748278212,0.019602851677454458,0.11817857577153434,11,False
12,0.025457577748278212,0.019602851677454458,0.11817857577153434,12,False
13,0.025457577748278212,0.019602851677454458,0.11817857577153434,13,False
14,0.025457577748278212,0.019602851677454458,0.11817857577153434,14,False
15,0.025457577748278212,0.019602851677454458,0.11817857577153434,15,False
16,0.025457577748278212,0.019602851677454458,0.11817857577153434,16,False
17,0.025457577748278212,0.019602851677454458,0.11817857577153434,17,False
18,-0.06451246619337483,0.019602851677454458,0.3076032605176242,18,False
19,0.0961553288201793,0.019602851677454458,0.5153084060492117,19,False
20,0.0961553288201793,0.019602851677454458,0.5153084060492117,20,False
21,0.0961553288201793,0.019602851677454458,0.5153084060492117,21,False
22,0.0961553288201793,0.019602851677454458,0.5153084060492117,22,False
23,0.0961553288201793,0.019602851677454458,0.5153084060492117,23,False
24,0.0961553288201793,0.019602851677454458,0.5153084060492117,24,False
25,0.0961553288201793,0.019602851677454458,0.5153084060492117,25,False
26,0.0961553288201793,0.019602851677454458,0.5153084060492117,26,False
27,0.0961553288201793,0.019602851677454458,0.5153084060492117,27,False
28,0.0961553288201793,0.019602851677454458,0.5153084060492117,28,False
29,0.0961553288201793,0.019602851677454458,0.5153084060492117,29,False
30,0.0961553288201793,0.019602851677454458,0.5153084060492117,30,False
31,0.0961553288201793,0.019602851677454458,0.5153084060492117,31,False
32,0.0961553288201793,0.019602851677454458,0.5153084060492117,32,False
33,0.0961553288201793,0.019602851677454458,0.5153084060492117,33,False
34,0.0961553288201793,0.019602851677454458,0.5153084060492117,34,False
35,0.0961553288201793,0.019602851677454458,0.5153084060492117,35,False
36,0.0961553288201793,0.019602851677454458,0.5153084060492117,36,False
37,0.0961553288201793,0.019602851677454458,0.5153084060492117,37,False
38,0.0961553288201793,0.019602851677454458,0.5153084060492117,38,False
39,0.0961553288201793,0.019602851677454458,0.5153084060492117,39,False
40,0.0961553288201793,0.019602851677454458,0.5153084060492117,40,False
41,0.0961553288201793,0.019602851677454458,0.5153084060492117,41,False
42,0.0961553288201793,0.019602851677454458,0.5153084060492117,42,False
43,0.0961553288201793,0.019602851677454458,0.5153084060492117,43,False
44,0.0961553288201793,0.019602851677454458,0.5153084060492117,44,False
45,0.0961553288201793,0.019602851677454458,0.5153084060492117,45,False
46,0.0961553288201793,0.019602851677454458,0.5153084060492117,46,False
47,0.0961553288201793,0.019602851677454458,0.5153084060492117,47,False
48,0.0961553288201793,0.02509429796865512,0.5247519103706151,48,False
49,0.0961553288201793,-0.08737372025295138,0.7706273900489617,49,False
50,-0.0018468201023286307,-0.3082688795387025,2.1930139587661768,50,False
